Date,Status,TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN
2020-04-23,Recovered,5012,11,141,1,19,44,14,30,0,0,808,7,258,169,19,92,8,145,316,16,0,203,840,2,0,0,0,33,4,66,451,0,752,252,2,206,24,79,0
2020-04-24,Confirmed,24447,29,955,1,36,223,27,36,0,0,2514,7,2815,275,40,454,59,474,451,18,0,1846,6817,2,12,1,0,94,7,298,2034,0,1755,983,2,1621,48,514,0
2020-04-24,Deceased,780,0,29,0,1,2,0,0,0,0,53,0,127,3,2,5,3,18,4,0,0,93,300,0,1,0,0,1,0,17,32,0,22,25,0,25,0,18,0
2020-04-24,Recovered,5496,11,145,1,19,44,15,30,0,0,857,7,265,185,19,109,8,152,331,16,0,210,957,2,0,0,0,33,4,70,493,0,866,291,2,226,25,103,0
2020-04-25,Confirmed,26282,33,1016,1,36,251,28,37,0,0,2625,7,3071,287,40,494,67,500,458,20,0,1945,7628,2,12,1,0,100,8,308,2083,0,1821,990,2,1793,48,571,0
2020-04-25,Deceased,824,0,31,0,1,2,0,0,0,0,54,0,133,3,2,6,3,18,4,0,0,100,322,0,1,0,0,1,0,17,34,0,23,25,0,27,0,18,0
2020-04-25,Recovered,5938,11,171,1,19,45,15,32,0,0,869,7,282,190,23,112,8,158,338,16,0,281,1076,2,0,0,0,34,4,72,513,0,960,307,2,261,26,103,0
2020-04-26,Confirmed,27889,33,1097,1,36,277,36,37,0,0,2918,7,3301,296,40,523,82,503,469,20,0,2090,8068,2,12,1,0,103,8,322,2185,0,1885,1001,2,1873,51,611,0
2020-04-26,Deceased,880,0,31,0,1,2,0,0,0,0,54,0,151,3,2,6,3,19,4,0,0,104,341,0,1,0,0,1,0,18,41,0,24,25,0,30,0,20,0
2020-04-26,Recovered,6523,11,231,1,27,56,17,32,0,0,877,7,313,198,23,137,13,182,342,16,0,302,1188,2,0,0,0,35,4,84,629,0,1020,316,2,327,26,105,0
2020-04-27,Confirmed,29457,33,1177,1,36,346,45,37,0,0,3108,7,3548,301,40,546,103,512,482,20,0,2165,8590,2,12,1,0,118,8,330,2262,0,1937,1003,2,1986,51,649,0
2020-04-27,Deceased,938,0,31,0,1,2,0,0,0,0,54,0,162,3,2,7,3,20,4,0,0,111,368,0,1,0,0,1,0,19,50,0,24,25,0,31,0,20,0
2020-04-27,Recovered,7103,11,235,1,27,56,17,32,0,0,877,7,394,212,26,164,17,193,355,16,0,357,1282,2,0,0,0,37,5,98,744,0,1074,332,2,399,26,105,0
2020-04-28,Confirmed,31359,33,1259,1,38,366,56,38,0,0,3314,7,3774,308,40,565,105,523,486,22,0,2387,9318,2,12,1,0,118,8,342,2364,0,2058,1009,2,2053,54,697,0
2020-04-28,Deceased,1007,0,31,0,1,2,0,0,0,0,54,0,181,3,2,8,3,20,4,0,0,121,399,0,1,0,0,1,0,19,52,0,25,25,0,34,0,22,0
2020-04-28,Recovered,7739,15,258,1,27,64,17,34,0,0,1078,7,434,223,26,176,19,207,359,16,0,373,1388,2,0,0,0,38,5,101,770,0,1128,374,2,462,26,109,0
