TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN
179268,6,3368,85,2614,2981,176,1093,34,0,24628,454,11292,5252,227,2967,1161,4109,1303,384,0,4461,52874,379,19,109,120,2120,116,2368,5916,62,27798,2822,883,6950,918,6727,2493
5364,0,42,0,5,16,4,5,0,0,851,0,754,68,3,31,5,45,11,1,0,231,2155,0,0,0,0,7,3,40,158,0,265,115,1,215,19,315,0
86904,27,1591,5,1631,2492,115,543,2,0,7910,31,8654,1895,211,1596,620,2686,735,35,0,3964,23559,63,21,1,84,1561,62,431,4984,5,11580,1393,142,4386,990,2899,0
182994,6,3416,85,2629,3055,180,1093,34,0,24987,454,11656,5265,228,3004,1166,4143,1313,385,0,4648,54369,379,19,109,120,2221,117,2378,6118,62,28307,2863,884,7044,921,6844,2493
5501,0,43,0,5,17,4,5,0,0,871,0,783,68,3,32,5,47,11,1,0,238,2209,0,0,0,0,7,3,40,162,0,268,117,1,219,19,324,0
88867,27,1677,5,1631,2510,115,544,2,0,8256,31,8970,1971,211,1607,628,2704,736,35,0,4108,23981,63,22,1,84,1588,62,460,5103,5,11621,1510,142,4478,990,2989,0
184025,6,3461,85,2630,3055,180,1095,34,0,25038,454,11734,5267,229,3012,1169,4156,1321,385,0,4775,54715,379,19,109,120,2226,117,2386,6226,62,28338,2915,884,7146,923,6882,2493
5538,0,47,0,5,17,4,5,0,0,873,0,785,68,3,32,5,49,11,1,0,241,2227,0,0,0,0,7,3,41,162,0,269,118,1,222,19,324,0
89034,27,1681,5,1631,2511,115,547,2,0,8256,31,8975,1975,212,1621,628,2715,749,35,0,4121,24011,63,22,1,84,1588,62,462,5129,5,11644,1517,142,4479,992,2996,0
195430,8,3755,88,2848,3241,182,1216,38,0,27262,495,12245,5726,245,3175,1221,4332,1375,497,0,4936,58105,388,19,111,130,2412,135,2463,6519,67,30312,3152,917,7643,957,7271,1945
5862,0,49,0,5,18,4,8,0,0,929,0,814,78,3,36,5,54,11,1,0,253,2347,0,0,0,0,8,4,43,172,0,307,121,1,236,20,336,0
96392,27,1812,6,1786,2800,115,635,2,0,9134,35,9417,2175,229,1741,717,3027,805,47,0,4421,25643,81,25,1,88,1702,71,491,5358,5,12782,1542,260,4872,1026,3514,0
